"SPECIES","GENUS","EPITHET","AUTHOR","COUNTRY","DEPARTAMENTO","MUNICIPIO","LOCALIDAD","LATITUD","LONGITUD","ALTURA","HABITAT"
"Acronia cardiothallis","Acronia","cardiothallis","(Rchb.fil.) Luer","Honduras","Francisco Morazán","San Antonio de Oriente","EAP, El Zamorano",14.01008611,-87.00896944,"800","Terrestrial"
"Elleanthus caricoides","Elleanthus","caricoides","Nash","Honduras","Francisco Morazán","San Antonio de Oriente","EAP, El Zamorano",14.01008611,-87.00896944,"800","Epiphyte"
"Elleanthus caricoides","Elleanthus","caricoides","Nash","Honduras","El Paraíso","","Ojo de Agua",13.72693611,-86.90923889,"700","Epiphyte"
"Elleanthus caricoides","Elleanthus","caricoides","Nash","Honduras","Olancho","Dulce Nombre de Culmi","Dulce Nombre de Culmi",15.07523611,-85.55606667,"500","Epiphyte"
"Elleanthus caricoides","Elleanthus","caricoides","Nash","Honduras","Gracias a Dios","","Ahuas Bila",15.43768611,-84.56719167,"100","Epiphyte"
"Acianthera angustifolia","Acianthera","angustifolia","Schltr.","Honduras","Gracias a Dios","Brus Laguna","Río Platano, 0-4 hours upriver from town of Ras. Near sea level ",15.35,-84.3666667,"","Epiphyte"
"Acianthera angustifolia","Acianthera","angustifolia","(Lindl.) Luer","Honduras","Yoro","","Río Pijol Valley. 7 km south east of Nueva Esperanza. Along forested Quebrada that flows into Río Pijol, and adjacent slopes. ",15.2,-87.58333,"1300 - 1500 m","Epiphyte"
"Acianthera angustifolia","Acianthera","angustifolia","(Lindl.) Luer","Honduras","Yoro","","Río Pijol Valley. 7 km south east of Nueva Esperanza. Along forested Quebrada that flows into Río Pijol, and adjacent slopes. ",15.2,-87.58333,"1300 - 1500 m","Epiphyte"
"Malaxis carnosa","Malaxis","carnosa","(Kunth) C.Schweinf.","Honduras","Yoro","","Río Pijol",15.23983333,-87.52875,"1300","Terrestrial"
"Malaxis carnosa","Malaxis","carnosa","(Kunth) C.Schweinf.","Honduras","Yoro","","Río Pijol",15.23983333,-87.52875,"1300","Terrestrial"
"Isochilus carnosiflorus","Isochilus","carnosiflorus","Lindl.","Honduras","Atlántida","","Jardin Botanico Lancetilla",15.73598056,-87.45518611,"5","Epiphyte"
"Epidendrum caroli","Epidendrum","caroli","Schltr.","Honduras","Yoro","","",15.06196667,-87.12415833,"1300","Epiphyte"
"Epidendrum carpophorum","Epidendrum","carpophorum","Barb.Rodr.","Honduras","Francisco Morazán","","Laguna Verde (Alpaneca). San Juancito Mts. Depto. Morazán.",14.220635,-87.077308,"1850","Epiphyte"
"Epidendrum carpophorum","Epidendrum","carpophorum","Barb.Rodr.","Honduras","Comayagua","Taulabé","Pito Solo, Lake Yojoa  ",14.79666,-87.84083,"2000 f","Epiphyte"
"Trichocentrum carthagenense","Trichocentrum","carthagenense","(Jacq.) Chase & Williams","Honduras","Atlántida","La Ceiba","Quebrada Grande",15.50183333,-87.23158333,"140","Epiphyte"
"Trichocentrum carthagenense","Trichocentrum","carthagenense","(Jacq.) Sw.","Honduras","Atlántida","","Pico Bonito",15.61844444,-86.86211111,"160","Epiphyte"
"Trichocentrum carthagenense","Trichocentrum","carthagenense","(Jacq.) Sw.","Honduras","Atlántida","","Base of N slope of Pico Bonito, E of new CURLA (Centro Universitario Regional del Litoral Atlantico) camp building on the Quebrada Grande, ca. 1/3 km above its confluence with the Río Bonito, ca. 10 km SW of La Ceiba, Parque Nacional Pico Bonito. Upland primary forest. ",15.7,-86.85,"160 m","Epiphyte"
"Trichocentrum carthagenense","Trichocentrum","carthagenense","(Jacq.) Sw.","Honduras","Atlántida","","Campamento Quebrada Grande ca. 10 km south west of La Ceiba. At base of north slope of Pico Bonito, from camp to 1 km east of camp, upland forest. ",15.7,-86.85,"140 m","Epiphyte"
"Trichocentrum carthagenense","Trichocentrum","carthagenense","(Jacq.) Sw.","Honduras","Cortés","San Pedro Sula","San Pedro Sula",15.51581667,-87.99728889,"80","Epiphyte"
"Trichocentrum carthagenense","Trichocentrum","carthagenense","(Jacq.) Sw.","Honduras","Cortés","San Pedro Sula","San Pedro Sula",15.51581667,-87.99728889,"80","Epiphyte"
"Trichocentrum carthagenense","Trichocentrum","carthagenense","(Jacq.) Sw.","Honduras","Francisco Morazán","","Volcan de Guaimaca",14.64087778,-86.82224167,"2500","Epiphyte"
"Trichocentrum carthagenense","Trichocentrum","carthagenense","(Jacq.) Sw.","Honduras","Cortés","","Lake Yojoa, in Cafetal.",14.871908,-88.018096,"","Epiphyte"
"Trichocentrum carthagenense","Trichocentrum","carthagenense","(Jacq.) Sw.","Honduras","Francisco Morazán","","Cerro Majicaran",13.99691944,-86.96259444,"850","Epiphyte"
"Trichocentrum carthagenense","Trichocentrum","carthagenense","(Jacq.) Sw.","Honduras","Cortés","Santa Cruz de Yojoa","El Jaral, Lake Yojoa. ",14.94138,-88.02,"2500 f","Epiphyte"
"Trichocentrum carthagenense","Trichocentrum","carthagenense","(Jacq.) Chase & Williams","Honduras","Yoro","Victoria","Bajo Grande",15.13027,-87.75277,"3000 f","Epiphyte"
"Gongora cassidea","Gongora","cassidea","Rchb.fil.","Honduras","La Paz","Cane","Ribera del Río Viejo, Cane. ",14.31666,-87.68333,"","Epiphyte"
"Gongora cassidea","Gongora","cassidea","Rchb.fil.","Honduras","La Paz","Cane","",14.28186667,-87.64863889,"-9999","Epiphyte"
"Gongora cassidea","Gongora","cassidea","Rchb.fil.","Honduras","Comayagua","Comayagua","Comayagua",14.48333,-87.63333,"1800 f","Epiphyte"
"Gongora cassidea","Gongora","cassidea","Rchb.fil.","Honduras","Comayagua","Villa de San Antonio","Carretera entre la Villa de San Antonio y la Ciudad de La Paz, +/- 3 al NE de la Villa de San Antonio    ",14.34611,-87.61666,"600 m","Epiphyte"
"Gongora cassidea","Gongora","cassidea","Rchb.fil.","Honduras","Valle","Nacaome","Jicaro Galán ",13.53166,-87.43888,"20 m","Epiphyte"
"Gongora cassidea","Gongora","cassidea","Rchb.fil.","Honduras","Francisco Morazán","Distrito Central","Tegucigalpa, cultivada. ",14.1,-87.21666,"950 m","Epiphyte"
"Gongora cassidea","Gongora","cassidea","Rchb.fil.","Honduras","Francisco Morazán","Tegucigalpa","Tegucigalpa",14.07193056,-87.16935278,"950","Epiphyte"
"Brassia caudata","Brassia","caudata","(L.) Lindl.","Honduras","Choluteca","El Corpus","",13.28246111,-87.02607222,"0","Epiphyte"
"Brassia caudata","Brassia","caudata","(L.) Lindl.","Honduras","Francisco Morazán","San Antonio de Oriente","Vicinity of Zamorano ",14.01666,-87.02277,"2700 f","Epiphyte"
"Brassia caudata","Brassia","caudata","(L.) Lindl.","Honduras","El Paraíso","Yuscarán","Depto. El Paraíso. El Rodeo, entre Yuscarán y Oropolí.",13.969128,-86.86682,"","Epiphyte"
"Brassia caudata","Brassia","caudata","(L.) Lindl.","Honduras (HN)","El Paraíso","Morocelí","Depto. El Paraíso. Quebrada Grande, +- 4.1 Km al N de Morocelí por el camno hacia Mata de Plátano.",13.969128,-86.86682,"740","Epiphyte"
"Brassia caudata","Brassia","caudata","(L.) Lindl.","Honduras (HN)","El Paraíso","Oropolí","El Abra, ±2 km al SE de Oropolí",13.969128,-86.86682,"420","Epiphyte"
"Phragmipedium caudatum","Phragmipedium","caudatum","(Lindl.) Rolfe","Honduras","Choluteca","San Marcos de Colón","El Gueguecho",13.430625,-86.78461667,"920","Epiphyte"
"Phragmipedium caudatum","Phragmipedium","caudatum","(Lindl.) Rolfe","Honduras","El Paraíso","","El Rodeo",13.90034444,-86.77702778,"0","Epiphyte"
"Phragmipedium caudatum","Phragmipedium","caudatum","(Lindl.) Rolfe","Honduras","Olancho","","",14.819222,-86.619143,"","Epiphyte"
"Trichocentrum cavendishianum","Trichocentrum","cavendishianum","(Bateman) Braem","Honduras","Olancho","","",14.819222,-86.619143,"","Epiphyte"
"Trichocentrum cavendishianum","Trichocentrum","cavendishianum","Bateman","Honduras","Olancho","","",14.819222,-86.619143,"","Epiphyte"
"Cohniella cebolleta","Cohniella","cebolleta","(Jacq.) Christenson","Honduras","Olancho","Juticalpa","vicinity of Juticalpa ",14.65,-86.2,"380 - 480 m","Epiphyte"
"Cohniella cebolleta","Cohniella","cebolleta","(Jacq.) Christenson","Honduras","Intibucá","","Reserva Biologica de Opalaca",14.47183333,-88.33873056,"1300","Epiphyte"
"Cohniella cebolleta","Cohniella","cebolleta","(Jacq.) Christenson","Honduras","Intibucá","","Near Esperanza.",14.344868,-88.21393,"2133.6","Epiphyte"
"Cohniella cebolleta","Cohniella","cebolleta","(Jacq.) Chase & Williams","Honduras","Intibucá","La Esperanza","On the road between Sequetepeche [Siguatepeque] and La Esperanza   ",14.3,-88.1833333,"4000 - 6000 ft","Epiphyte"
"Cohniella cebolleta","Cohniella","cebolleta","(Jacq.) Chase & Williams","Honduras","Intibucá","La Esperanza","",14.29221111,-88.16039167,"2000","Epiphyte"
"Cohniella cebolleta","Cohniella","cebolleta","(Jacq.) Christenson","Honduras","Intibucá","La Esperanza","La Esperanza",14.29221111,-88.16039167,"2000","Epiphyte"
"Cohniella cebolleta","Cohniella","cebolleta","(Jacq.) Christenson","Honduras","Comayagua","","Cerro de La Cruz",14.75136667,-87.58666667,"1400","Epiphyte"
"Cohniella cebolleta","Cohniella","cebolleta","(Jacq.) Christenson","Honduras","Francisco Morazán","","",13.92310278,-87.17747778,"1300","Epiphyte"
"Cohniella cebolleta","Cohniella","cebolleta","(Jacq.) Chase & Williams","Honduras (HN)","Francisco Morazán","San Antonio de Oriente","Cima del Cerro Uyuca",14.032725,-87.070576,"","Epiphyte"
"Cohniella cebolleta","Cohniella","cebolleta","(Jacq.) Chase & Williams","Honduras","Olancho","Campamento","Cerro El Cangrejo",14.57589444,-86.70641944,"1000","Epiphyte"
"Cohniella cebolleta","Cohniella","cebolleta","(Jacq.) Christenson","Honduras","Ocotepeque","Cordillera Merendon","Montana Cocal",14.66525,-88.98147222,"1800","Epiphyte"
"Cohniella cebolleta","Cohniella","cebolleta","(Jacq.) Sw.","Honduras","Intibucá","","Municipio Intibucá: 12.7 mi N of Marcala along the road from Marcala to La Esperanza. Steep, rocky roadside embankment through pine forest. ",14.28111,-88.06888,"1640 m","Epiphyte"
"Cohniella cebolleta","Cohniella","cebolleta","(Jacq.) Sw.","Honduras","La Paz","Marcala","Marcala",14.16394444,-88.03997222,"1640","Epiphyte"
"Cohniella cebolleta","Cohniella","cebolleta","(Jacq.) Sw.","Honduras","Comayagua","","San Juanillo",14.44038889,-87.84941667,"2000","Epiphyte"
"Cohniella cebolleta","Cohniella","cebolleta","(Jacq.) Chase & Williams","Honduras","Comayagua","Comayagua","Comayagua",14.49102778,-87.66675,"0","Epiphyte"
"Cohniella cebolleta","Cohniella","cebolleta","(Jacq.) Sw.","Honduras","Francisco Morazán","San Juancito","Montana de La Tigra",14.24402778,-87.11827778,"2000","Epiphyte"
"Cohniella cebolleta","Cohniella","cebolleta","(Jacq.) Christenson","Honduras","Francisco Morazán","San Juancito","Montana de La Tigra",14.24402778,-87.11827778,"2000","Epiphyte"
"Cohniella cebolleta","Cohniella","cebolleta","(Jacq.) Christenson","Honduras","Francisco Morazán","","Cerro Uyuca",14.014,-87.08119444,"2000","Epiphyte"
"Cohniella cebolleta","Cohniella","cebolleta","(Jacq.) Christenson","Honduras","Francisco Morazán","","Cerro Uyuca",14.014,-87.08119444,"2000","Epiphyte"
"Cohniella cebolleta","Cohniella","cebolleta","(Jacq.) Christenson","Honduras","Francisco Morazán","","Cerro Uyuca",14.014,-87.08119444,"2000","Epiphyte"
"Epidendrum centropetalum","Epidendrum","centropetalum","(Rchb. fil.) Rchb. fil.","Honduras","Francisco Morazán","","Cerro Uyuca",14.014,-87.08119444,"1700","Epiphyte"
"Epidendrum centropetalum","Epidendrum","centropetalum","(Rchb. fil.) Rchb. fil.","Honduras","Francisco Morazán","","Cerro Uyuca",14.014,-87.08119444,"2000","Epiphyte"
"Epidendrum centropetalum","Epidendrum","centropetalum","(Rchb. fil.) Rchb. fil.","Honduras","Francisco Morazán","","San Juancito",14.22152778,-87.07130556,"2000","Epiphyte"
"Epidendrum centropetalum","Epidendrum","centropetalum","(Rchb. fil.) Rchb. fil.","Honduras","Cortés","Santa Cruz de Yojoa","Concepcíon ",14.98416,-87.92944,"2500 f","Epiphyte"
"Epidendrum centropetalum","Epidendrum","centropetalum","(Rchb. fil.) Rchb. fil.","Honduras","Comayagua","","",14.42806389,-87.62954722,"-9999","Epiphyte"
"Epidendrum centropetalum","Epidendrum","centropetalum","(Rchb. fil.) Rchb. fil.","Honduras","Yoro","","",15.01996389,-87.46959722,"","Epiphyte"
"Epidendrum centropetalum","Epidendrum","centropetalum","(Rchb. fil.) Rchb. fil.","Honduras","Francisco Morazán","","Cerro Uyuca",14.03129167,-87.06966389,"2000","Epiphyte"
"Epidendrum centropetalum","Epidendrum","centropetalum","(Rchb. fil.) Rchb. fil.","Honduras","Francisco Morazán","","Cerro Uyuca",14.03129167,-87.06966389,"2000","Epiphyte"
"Epidendrum centropetalum","Epidendrum","centropetalum","(Rchb. fil.) Rchb. fil.","Honduras","Francisco Morazán","","Cerro Uyuca",14.03129167,-87.06966389,"2000","Epiphyte"
"Epidendrum centropetalum","Epidendrum","centropetalum","Rchb.fil.","Honduras","Atlántida","La Ceiba","Montaña La Manga",15.71578333,-86.74556389,"1050","Epiphyte"
"Epidendrum centropetalum","Epidendrum","centropetalum","Rchb.fil.","Honduras","Francisco Morazán","","Casa Blanca",14.23877778,-87.22722222,"838","Epiphyte"
"Epidendrum centropetalum","Epidendrum","centropetalum","Rchb.fil.","Honduras","Francisco Morazán","","Villa Nueva",14.02405556,-87.13791667,"850","Epiphyte"
"Epidendrum centropetalum","Epidendrum","centropetalum","Rchb.fil.","Honduras","Francisco Morazán","San Antonio de Oriente","El Jicarito",14.01211111,-87.03394444,"1000","Epiphyte"
"Epidendrum centropetalum","Epidendrum","centropetalum","Rchb.fil.","Honduras","Francisco Morazán","","Las Mesas",14.04488889,-87.02852778,"800","Epiphyte"
"Epidendrum centropetalum","Epidendrum","centropetalum","Rchb.fil.","Honduras","Francisco Morazán","San Antonio de Oriente","EAP, El Zamorano",14.01025,-87.01055556,"800","Epiphyte"
"Epidendrum centropetalum","Epidendrum","centropetalum","Rchb.fil.","Honduras","Yoro","","Rio Aguan",15.49280556,-86.41391667,"1000","Epiphyte"
"Epidendrum centropetalum","Epidendrum","centropetalum","Rchb.fil.","Honduras","Copán","","Monte Grueso",14.86950556,-88.75786389,"-9999","Epiphyte"
"Epidendrum centropetalum","Epidendrum","centropetalum","Rchb.fil.","Honduras","Cortés","Santa Cruz de Yojoa","Finca Fe ",14.98833,-88.05138,"670 m","Epiphyte"
"Epidendrum centropetalum","Epidendrum","centropetalum","Rchb.fil.","Honduras","Cortés","San Antonio de Cortés","",15.12396667,-88.03147778,"900","Epiphyte"
"Epidendrum centropetalum","Epidendrum","centropetalum","Rchb.fil.","Honduras","Comayagua","","",14.42806389,-87.62954722,"750","Epiphyte"
"Epidendrum centropetalum","Epidendrum","centropetalum","Rchb.fil.","Honduras","Yoro","Yoro","Cerca de La Guata y Rio Aguan  ",15.22305,-87.14916,"1000 m","Epiphyte"
"Epidendrum centropetalum","Epidendrum","centropetalum","Rchb.fil.","Honduras","Yoro","","Pinares y llanos de carbonales cerca del a Guata y Rio Aguan.",15.256355,-87.079651,"1000","Epiphyte"
"Encyclia ceratistes","Encyclia","ceratistes","(Lindl.) Schltr.","Honduras","Francisco Morazán","Distrito Central","Along junction of Jicarito and Gallo Creeks. Escuela Agricola Panamericana ",14.02805,-87.04694,"1000 m","Epiphyte"
"Encyclia ceratistes","Encyclia","ceratistes","(Lindl.) Schltr.","Honduras","Francisco Morazán","San Antonio de Oriente","El Zamorano",14.01008611,-87.00896944,"-9999","Epiphyte"
"Encyclia ceratistes","Encyclia","ceratistes","(Lindl.) Schltr.","Honduras (HN)","Olancho","La Unión","El Escribano, cerca de el pueblo de La Unión.",15.022285,-86.735917,"","Epiphyte"
"Myoxanthus octomeriae","Myoxanthus","octomeriae","Ames","Honduras","El Paraíso","","Escuela Fco. Morazán",13.86372222,-86.55577778,"950","Terrestrial"
"Myoxanthus octomeriae","Myoxanthus","octomeriae","Ames","Honduras","Olancho","Catacamas","En la salida de Catacamas, sobre el camino a Culmí. Selva media subperennifolia ",14.87083,-85.89555,"400 m","Terrestrial"
"Myoxanthus octomeriae","Myoxanthus","octomeriae","Ames","Honduras","Olancho","Catacamas","En la salida de Catacamas, sobre el camino a Culmí. Selva media subperennifolia ",14.87083,-85.89555,"400 m","Terrestrial"
"Polystachya foliosa","Polystachya","foliosa","Lindl.","Honduras","Olancho","Catacamas","Escuela Nacional de Agricultura",14.82819444,-85.849675,"355","Epiphyte"
"Prosthechea chacaoensis","Prosthechea","chacaoensis","Rchb. fil.","Honduras","Olancho","Catacamas","Escuela Nacional de Agricultur",14.82958333,-85.84602778,"355","Epiphyte"
"Prosthechea chacaoensis","Prosthechea","chacaoensis","Rchb. fil.","Honduras (HN)","Olancho","","En la salida de Catacamas, sobre el camino a Culmi.",14.912201,-85.702876,"","Epiphyte"
"Prosthechea chacaoensis","Prosthechea","chacaoensis","Rchb. fil.","Honduras","Olancho","Dulce Nombre de Culmi","",15.07523611,-85.55606667,"-9999","Epiphyte"
"Prosthechea chacaoensis","Prosthechea","chacaoensis","Rchb. fil.","Honduras","Comayagua","","",14.819222,-86.619143,"","Epiphyte"
"Prosthechea chacaoensis","Prosthechea","chacaoensis","Rchb. fil.","Honduras (HN)","El Paraíso","Morocelí","Quebrada Grande, +- 2 km N de Morocelí.",14.126211,-86.821698,"740","Epiphyte"
"Prosthechea chacaoensis","Prosthechea","chacaoensis","Rchb. fil.","Honduras","Comayagua","","",14.60773611,-87.88429722,"","Epiphyte"
"Prosthechea chacaoensis","Prosthechea","chacaoensis","(Rchb.fil.) W.E.Higgins","Honduras","Cortés","Santa Cruz de Yojoa","La Ceiba; orilla del Río Yure. Bosque de vega tropical;  15  km  E  Lago  de  Yojoa.     ",14.94583,-87.77694,"200 m","Epiphyte"
"Prosthechea chacaoensis","Prosthechea","chacaoensis","(Rchb.fil.) W.E.Higgins","Honduras","Cortés","Santa Cruz de Yojoa","La Ceiba; orilla del Río Yure. Bosque de vega tropical;  15  km  E  Lago  de  Yojoa.     ",14.94583,-87.77694,"200 m","Epiphyte"
"Prosthechea chacaoensis","Prosthechea","chacaoensis","(Rchb.fil.) W.E.Higgins","Honduras","Comayagua","Siguatepeque","Trincheras",14.73741667,-87.77094444,"1500","Epiphyte"
"Prosthechea chacaoensis","Prosthechea","chacaoensis","(Rchb.fil.) W.E.Higgins","Honduras","Francisco Morazán","Tegucigalpa","Tegucigalpa",14.08091667,-87.21647222,"1050","Epiphyte"
"Prosthechea chacaoensis","Prosthechea","chacaoensis","(Rchb.fil.) W.E.Higgins","Honduras (HN)","Francisco Morazán","","of El Estero kms. 46 on way to Talanga",14.397214,-87.118961,"","Epiphyte"
"Prosthechea chacaoensis","Prosthechea","chacaoensis","(Rchb.fil.) W.E.Higgins","Honduras","Francisco Morazán","","Talanga",14.39111111,-87.08044444,"750","Epiphyte"
"Prosthechea chacaoensis","Prosthechea","chacaoensis","(Rchb.fil.) W.E.Higgins","Honduras","Francisco Morazán","Tatumbla","Vicinity of Rancho Quemado E of Mt. Uyuca. ",14.02527,-87.07527,"1500 m","Epiphyte"
"Prosthechea chacaoensis","Prosthechea","chacaoensis","(Rchb.fil.) W.E.Higgins","Honduras (HN)","Francisco Morazán","","ravine km 17 vicinity Rancho Quemado east Mt. Uyca",14.032725,-87.070576,"1500","Epiphyte"
"Prosthechea chacaoensis","Prosthechea","chacaoensis","(Rchb.fil.) W.E.Higgins","Honduras","Francisco Morazán","San Juancito mountains","Rancho Quemado",14.22061111,-87.06769444,"1500","Epiphyte"
"Prosthechea chacaoensis","Prosthechea","chacaoensis","(Rchb. fil.) Dressler & G. E. Pollard","Honduras","Francisco Morazán","","Las Mesas",14.04488889,-87.02852778,"900","Epiphyte"
"Prosthechea chacaoensis","Prosthechea","chacaoensis","(Rchb.fil.) W.E.Higgins","Honduras","Francisco Morazán","San Antonio de Oriente","EAP, El Zamorano",14.01025,-87.01055556,"800","Epiphyte"
"Prosthechea chacaoensis","Prosthechea","chacaoensis","(Rchb.fil.) W.E.Higgins","Honduras","Francisco Morazán","San Antonio de Oriente","EAP, El Zamorano",14.01025,-87.01055556,"800","Epiphyte"
"Prosthechea chacaoensis","Prosthechea","chacaoensis","(Rchb.fil.) W.E.Higgins","Honduras","Francisco Morazán","San Antonio de Oriente","EAP, El Zamorano",14.01025,-87.01055556,"800","Epiphyte"
"Prosthechea chacaoensis","Prosthechea","chacaoensis","(Rchb. fil.) Dressler & G. E. Pollard","Honduras","Francisco Morazán","San Antonio de Oriente","EAP, El Zamorano",14.01025,-87.01055556,"780","Epiphyte"
"Prosthechea chacaoensis","Prosthechea","chacaoensis","(Rchb.fil.) W.E.Higgins","Honduras","Francisco Morazán","San Antonio de Oriente","EAP, El Zamorano",14.01025,-87.01055556,"800","Epiphyte"
"Prosthechea chacaoensis","Prosthechea","chacaoensis","(Rchb.fil.) W.E.Higgins","Honduras","Francisco Morazán","San Antonio de Oriente","EAP, El Zamorano",14.01025,-87.01055556,"800","Epiphyte"
"Prosthechea chacaoensis","Prosthechea","chacaoensis","(Rchb.fil.) W.E.Higgins","Honduras","Olancho","","",14.819222,-86.619143,"","Epiphyte"
"Encyclia chapadensis","Encyclia","chapadensis","L.C.Menezes","Honduras","El Paraíso","Danli","Rio San Cristobal",14.07202778,-86.56030556,"0","Epiphyte"
"Barkeria obovata","Barkeria","obovata","(Lindl. ex Benth.) Ames","Honduras","Olancho","Juticalpa","Juticalpa",14.65977778,-86.22144444,"380","Epiphyte"
"Barkeria obovata","Barkeria","obovata","(Lindl. ex Benth.) Ames","Honduras","La Paz","","(Cerro Agua Escondida). Bosque mixto de Pinus y Quercus constituido de árboles jovenes y maduros de 6 a 40 m respectivamente. Por el filo del Cerro Agua Escondida, 2 km al Suroeste de Guajiguiro. En la Reserva Biológica Guajiquiro.",14.1,-87.83333,"2100 m","Epiphyte"
"Barkeria obovata","Barkeria","obovata","(Lindl. ex Benth.) Ames","Honduras","Ocotepeque","","El Portillo",14.46527778,-89.07263889,"2000","Epiphyte"
"Barkeria obovata","Barkeria","obovata","(Lindl. ex Benth.) Thien apud Dressler","Honduras","Ocotepeque","Cordillera Merendon","Montana Cocal",14.66525,-88.98147222,"1800","Epiphyte"
"Barkeria obovata","Barkeria","obovata","(Lindl. ex Benth.) Thien apud Dressler","Honduras","Santa Bárbara","","Between Lago Yojoa & El Sauce",14.90748,-88.069167,"750","Epiphyte"
"Barkeria obovata","Barkeria","obovata","(Lindl. ex Benth.) Thien apud Dressler","Honduras","Cortés","","Lake Yajoa vicinity",14.871908,-88.018096,"","Epiphyte"
"Barkeria obovata","Barkeria","obovata","(Lindl. ex Benth.) Thien apud Dressler","Honduras","Comayagua","Taulabé","Aldea Las Conchas, orilla del lago de Yojoa, bosque muy húmedo tropical ",14.79833,-87.97638,"600 m","Epiphyte"
"Barkeria obovata","Barkeria","obovata","(Lindl. ex Benth.) Thien apud Dressler","Honduras"," Cortés ",""," Lake Yojoa J. B. Edwards 297 ",14.93844722,-88.02282222,"","Epiphyte"
"Barkeria obovata","Barkeria","obovata","(Lindl. ex Benth.) Thien apud Dressler","Honduras","Ocotepeque","Sinuapa","La Montañita on Cordillera Merendón. Cut over pine-oak forest. ",14.41666,-89.13333,"1600 m","Epiphyte"
"Barkeria obovata","Barkeria","obovata","(Lindl. ex Benth.) Thien apud Dressler","Honduras","Ocotepeque","","La Montanita",14.53236111,-88.82686111,"1600","Epiphyte"
"Barkeria obovata","Barkeria","obovata","(Lindl. ex Benth.) Thien apud Dressler","Honduras","Colón","Trujillo","",15.92575556,-85.93290278,"400","Epiphyte"
"Barkeria obovata","Barkeria","obovata","(Lindl. ex Benth.) Thien apud Dressler","Honduras","La Paz","Marcala","Municipio Marcala: 7.3 mi N of Marcala along road from Marcala to Gracias. Oak-pine forest. ",14.18861,-88.04222,"1320 m","Epiphyte"
"Barkeria obovata","Barkeria","obovata","(Lindl. ex Benth.) Thien apud Dressler","Honduras","La Paz","Marcala","Marcala",14.16394444,-88.03997222,"1320","Epiphyte"
"Barkeria obovata","Barkeria","obovata","(Lindl. ex Benth.) Thien apud Dressler","Honduras","Cortés","","San Buenaventura de Cortés.",15.021895,-87.993264,"","Epiphyte"
"Barkeria obovata","Barkeria","obovata","(Lindl. ex Benth.) Thien apud Dressler","Honduras"," Cortés ","","",14.99796389,-87.89743333,"","Epiphyte"
"Barkeria obovata","Barkeria","obovata","(Lindl. ex Benth.) Thien apud Dressler","Honduras","Comayagua",""," Siguatepeque J. B. Edwards 278 1932-10-5 ",14.60773611,-87.88429722,"","Epiphyte"
"Barkeria obovata","Barkeria","obovata","(Lindl. ex Benth.) Thien apud Dressler","Honduras","Comayagua","Comayagua","Comayagua Valley",14.39727778,-87.62041667,"730","Epiphyte"
"Barkeria obovata","Barkeria","obovata","(Lindl. ex Benth.) Thien apud Dressler","Honduras","Comayagua","","Quebrada El Destiladero",14.312,-87.51949167,"750","Epiphyte"
"Barkeria obovata","Barkeria","obovata","(Lindl. ex Benth.) Thien apud Dressler","Honduras","Choluteca","","Cerro Bella Vista",13.624,-87.254,"800","Epiphyte"
"Barkeria obovata","Barkeria","obovata","(Lindl. ex Benth.) Thien apud Dressler","Honduras","Francisco Morazán","","Quebrada de Los Miados",14.23877778,-87.22722222,"800","Epiphyte"
"Isochilus chiriquensis","Isochilus","chiriquensis","Schltr.","Honduras","Francisco Morazán","","Fl. in cult. San Buenaventura.",13.88478,-87.182473,"","Epiphyte"
"Epidendrum chloe","Epidendrum","chloe","Rchb.fil.","Honduras","Francisco Morazán","Tegucigalpa","Colónia Miraflores",14.07193056,-87.16935278,"1000","Epiphyte"
"Epidendrum chloe","Epidendrum","chloe","Rchb.fil.","Honduras","Francisco Morazán","San Antonio de Oriente","Jicarito",14.01211111,-87.03394444,"1000","Epiphyte"
"Epidendrum chlorocorymbos","Epidendrum","chlorocorymbos","Schltr.","Honduras","Francisco Morazán","San Antonio de Oriente","Jicarito",14.01211111,-87.03394444,"1000","Terrestrial"
"Epidendrum chlorocorymbos","Epidendrum","chlorocorymbos","Schltr.","Honduras","Francisco Morazán","","Las Mesas",14.04488889,-87.02852778,"900","Terrestrial"
"Epidendrum chlorocorymbos","Epidendrum","chlorocorymbos","Schltr.","Honduras","Francisco Morazán","","Las Mesas",14.04488889,-87.02852778,"900","Terrestrial"
"Encyclia chloroleuca","Encyclia","chloroleuca","(Hook.) Neumayer","Honduras","Francisco Morazán","","Las Mesas",14.04488889,-87.02852778,"900","Epiphyte"
"Prosthechea chondylobulbon","Prosthechea","chondylobulbon","(A.Rich. &  Galeotti) W.E.Higgins","Honduras","Francisco Morazán","San Antonio de Oriente","Quebrada El Naranjo",13.992,-87.025,"0","Epiphyte"
"Prosthechea chondylobulbon","Prosthechea","chondylobulbon","(A.Rich. &  Galeotti) W.E.Higgins","Honduras","Francisco Morazán","San Antonio de Oriente","El Zamorano",14.01008611,-87.00896944,"820","Epiphyte"
"Sobralia chrysostoma","Sobralia","chrysostoma","Dressler","Honduras (HN)","El Paraíso","El Paraíso","Vieja plantación de cítricos, frente a la Escuela de Río Arriba, ca. 2 Km al S de El Paraíso.",14.017914,-86.998998,"","Terrestrial"
"Epidendrum ciliare","Epidendrum","ciliare","L.","Honduras (HN)","Francisco Morazán","","Along junction of Jicarito and Gallo creeks",14.017914,-86.998998,"1000","Epiphyte"
